z,PL,PT
0.0,185.463,-173.699390253
0.101336120928,186.307,-171.787864939
0.202672241857,214.162,-175.773254888
0.304008362785,190.966,-185.10641563
0.405344483713,199.996,-185.731447846
0.506680604642,206.426,-190.0537551
0.60801672557,227.14,-186.83674117
0.709352846498,230.883,-179.084098171
0.810688967427,253.351,-173.057531311
0.912025088355,278.494,-170.37582223
1.01336120928,326.471,-174.780085009
1.11469733021,401.668,-171.153870006
1.21603345114,454.759,-159.923141995
1.31736957207,491.855,-147.285345119
1.418705693,514.035,-134.38947928
1.52004181393,511.702,-136.024132923
1.62137793485,459.522,-137.445078387
1.72271405578,420.84,-155.707477753
1.82405017671,206.47,-166.094774857
1.92538629764,69.8953,-175.041310916
2.02672241857,-421.776,-197.740965592
2.1280585395,-1134.96,-225.834038053
2.22939466042,-963.87,-228.884652191
2.33073078135,-511.074,-223.30446029
2.43206690228,-248.503,-230.673564182
2.53340302321,145.7,-217.582476086
2.63473914414,490.137,-215.3370122
2.73607526507,844.148,-213.110041294
2.83741138599,937.443,-222.837785493
2.93874750692,797.917,-224.525443621
3.04008362785,517.83,-235.014441922
3.14141974878,199.059,-226.209628504
3.24275586971,18.0395,-209.657115362
3.34409199064,45.3366,-212.739504468
3.44542811156,159.725,-217.06904188
3.54676423249,257.95,-218.309768162
3.64810035342,210.453,-208.788359532
3.74943647435,107.067,-203.41204456
3.85077259528,43.093,-190.317021618
3.95210871621,232.319,-181.050515579
4.05344483713,523.315,-191.409528113
4.15478095806,706.667,-196.598467199
4.25611707899,781.059,-192.146568617
4.35745319992,748.248,-195.419099195
4.45878932085,465.704,-224.763045365
4.56012544178,60.9611,-243.059086002
4.6614615627,-134.76,-229.682787275
4.76279768363,-477.749,-220.840485621
4.86413380456,-996.234,-203.997195106
4.96546992549,-901.043,-190.970005779
5.06680604642,-371.092,-193.141857491
5.16814216735,-25.9697,-186.144367695
5.26947828827,228.143,-181.328555234
5.3708144092,370.389,-163.306151097
5.47215053013,426.272,-155.757475206
5.57348665106,453.7,-154.45073118
5.67482277199,512.831,-153.408757251
5.77615889292,493.982,-152.135206828
5.87749501384,446.522,-143.995404457
5.97883113477,406.998,-155.568501627
6.0801672557,336.688,-179.920944473
6.18150337663,324.303,-195.50564911
6.28283949756,263.071,-203.533101469
6.38417561849,246.341,-195.977437085
6.48551173941,225.766,-187.332184269
6.58684786034,215.11,-184.688376035
6.68818398127,197.831,-182.338602141
6.7895201022,186.994,-188.025802644
6.89085622313,199.397,-182.533059716
6.99219234406,187.928,-174.484813812
